param,scenario,simulation,peak_coeff,name,n_groups,size,intro_n,r0,delta,est,lower_ci,upper_ci,bias,is_within_ci,significant_delta,significant_est,successes,trials
Delta,"BASE - Delta: 10, 1/10 ",15,0.8,A,2,50,1,2,0.818181818181818,0.571428571428572,-0.0159513540969437,0.906841424220265,0.246753246753247,TRUE,TRUE,FALSE,11,14
Delta,"BASE - Delta: 10, 1/10 ",15,0.8,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",15,0.9,A,2,50,1,2,0.818181818181818,0.6,0.038217732386294,0.913375989788327,0.218181818181818,TRUE,TRUE,TRUE,12,15
Delta,"BASE - Delta: 10, 1/10 ",15,0.9,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",15,1,A,2,50,1,2,0.818181818181818,0.7,0.242146346909372,0.935858125629073,0.118181818181818,TRUE,TRUE,TRUE,17,20
Delta,"BASE - Delta: 10, 1/10 ",15,1,B,2,50,1,2,-0.818181818181818,-1,-1,0.683772233983162,0.181818181818182,TRUE,TRUE,FALSE,0,2
Delta,"BASE - Delta: 10, 1/10 ",16,0.7,A,2,50,1,2,0.818181818181818,1,-1,1,-0.181818181818182,TRUE,TRUE,FALSE,3,3
Delta,"BASE - Delta: 10, 1/10 ",16,0.7,B,2,50,1,2,-0.818181818181818,1,1,1,-1.81818181818182,FALSE,TRUE,TRUE,,
Delta,"BASE - Delta: 10, 1/10 ",16,0.8,A,2,50,1,2,0.818181818181818,1,-1,1,-0.181818181818182,TRUE,TRUE,FALSE,3,3
Delta,"BASE - Delta: 10, 1/10 ",16,0.8,B,2,50,1,2,-0.818181818181818,1,1,1,-1.81818181818182,FALSE,TRUE,TRUE,,
Delta,"BASE - Delta: 10, 1/10 ",16,0.9,A,2,50,1,2,0.818181818181818,1,-1,1,-0.181818181818182,TRUE,TRUE,FALSE,7,7
Delta,"BASE - Delta: 10, 1/10 ",16,0.9,B,2,50,1,2,-0.818181818181818,1,1,1,-1.81818181818182,FALSE,TRUE,TRUE,,
Delta,"BASE - Delta: 10, 1/10 ",16,1,A,2,50,1,2,0.818181818181818,1,-1,1,-0.181818181818182,TRUE,TRUE,FALSE,9,9
Delta,"BASE - Delta: 10, 1/10 ",16,1,B,2,50,1,2,-0.818181818181818,1,1,1,-1.81818181818182,FALSE,TRUE,TRUE,,
Delta,"BASE - Delta: 10, 1/10 ",17,0.7,A,2,50,1,2,0.818181818181818,1,-1,1,-0.181818181818182,TRUE,TRUE,FALSE,8,8
Delta,"BASE - Delta: 10, 1/10 ",17,0.7,B,2,50,1,2,-0.818181818181818,1,1,1,-1.81818181818182,FALSE,TRUE,TRUE,,
Delta,"BASE - Delta: 10, 1/10 ",17,0.8,A,2,50,1,2,0.818181818181818,1,-1,1,-0.181818181818182,TRUE,TRUE,FALSE,8,8
Delta,"BASE - Delta: 10, 1/10 ",17,0.8,B,2,50,1,2,-0.818181818181818,1,1,1,-1.81818181818182,FALSE,TRUE,TRUE,,
Delta,"BASE - Delta: 10, 1/10 ",17,0.9,A,2,50,1,2,0.818181818181818,-1,-1,-1,1.81818181818182,FALSE,TRUE,TRUE,11,12
Delta,"BASE - Delta: 10, 1/10 ",17,0.9,B,2,50,1,2,-0.818181818181818,1,1,1,-1.81818181818182,FALSE,TRUE,TRUE,,
Delta,"BASE - Delta: 10, 1/10 ",17,1,A,2,50,1,2,0.818181818181818,-1,-1,-1,1.81818181818182,FALSE,TRUE,TRUE,16,17
Delta,"BASE - Delta: 10, 1/10 ",17,1,B,2,50,1,2,-0.818181818181818,1,1,1,-1.81818181818182,FALSE,TRUE,TRUE,,
Delta,"BASE - Delta: 10, 1/10 ",18,0.7,A,2,50,1,2,0.818181818181818,1,-0.0436475002099628,1,-0.181818181818182,TRUE,TRUE,FALSE,5,5
Delta,"BASE - Delta: 10, 1/10 ",18,0.7,B,2,50,1,2,-0.818181818181818,-0.5,-0.98738107358058,0.611759100633513,-0.318181818181818,TRUE,TRUE,FALSE,1,4
Delta,"BASE - Delta: 10, 1/10 ",18,0.8,A,2,50,1,2,0.818181818181818,1,0.0814837471201992,1,-0.181818181818182,TRUE,TRUE,TRUE,6,6
Delta,"BASE - Delta: 10, 1/10 ",18,0.8,B,2,50,1,2,-0.818181818181818,-0.5,-0.98738107358058,0.611759100633513,-0.318181818181818,TRUE,TRUE,FALSE,1,4
Delta,"BASE - Delta: 10, 1/10 ",18,0.9,A,2,50,1,2,0.818181818181818,1,0.327465766240114,1,-0.181818181818182,TRUE,TRUE,TRUE,9,9
Delta,"BASE - Delta: 10, 1/10 ",18,0.9,B,2,50,1,2,-0.818181818181818,-0.5,-0.98738107358058,0.611759100633513,-0.318181818181818,TRUE,TRUE,FALSE,1,4
Delta,"BASE - Delta: 10, 1/10 ",18,1,A,2,50,1,2,0.818181818181818,1,0.470703061205898,1,-0.181818181818182,TRUE,TRUE,TRUE,12,12
Delta,"BASE - Delta: 10, 1/10 ",18,1,B,2,50,1,2,-0.818181818181818,-0.5,-0.98738107358058,0.611759100633513,-0.318181818181818,TRUE,TRUE,FALSE,1,4
Delta,"BASE - Delta: 10, 1/10 ",19,0.7,A,2,50,1,2,0.818181818181818,1,-0.415196452357427,1,-0.181818181818182,TRUE,TRUE,FALSE,3,3
Delta,"BASE - Delta: 10, 1/10 ",19,0.7,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",19,0.8,A,2,50,1,2,0.818181818181818,1,0.261166704894362,1,-0.181818181818182,TRUE,TRUE,TRUE,8,8
Delta,"BASE - Delta: 10, 1/10 ",19,0.8,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",19,0.9,A,2,50,1,2,0.818181818181818,0.846153846153846,0.279405129464245,0.996108743005307,-0.027972027972028,TRUE,TRUE,TRUE,12,13
Delta,"BASE - Delta: 10, 1/10 ",19,0.9,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",19,1,A,2,50,1,2,0.818181818181818,0.777777777777778,0.305759122782656,0.972497568671271,0.0404040404040406,TRUE,TRUE,TRUE,16,18
