name,peak_coeff,est,lower_ci,upper_ci,successes,trials,scenario,simulation
A,0.8,-1,-1,-1,13,14,"BASE - Delta: 10, 1/10 ",26
B,0.8,1,1,1,,,"BASE - Delta: 10, 1/10 ",26
A,0.9,-1,-1,-1,14,17,"BASE - Delta: 10, 1/10 ",26
B,0.9,1,1,1,,,"BASE - Delta: 10, 1/10 ",26
A,1,-1,-1,-1,23,28,"BASE - Delta: 10, 1/10 ",26
B,1,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",26
A,0.7,1,0.0814837471201992,1,6,6,"BASE - Delta: 10, 1/10 ",27
B,0.7,-1,-1,0.204729271232949,0,4,"BASE - Delta: 10, 1/10 ",27
A,0.8,1,0.0814837471201992,1,6,6,"BASE - Delta: 10, 1/10 ",27
B,0.8,-1,-1,-0.0814837471201992,0,6,"BASE - Delta: 10, 1/10 ",27
A,0.9,0.8,0.109967765943609,0.994942842911076,9,10,"BASE - Delta: 10, 1/10 ",27
B,0.9,-1,-1,-0.180767205549993,0,7,"BASE - Delta: 10, 1/10 ",27
A,1,0.666666666666667,0.0317245026280659,0.958274949079815,10,12,"BASE - Delta: 10, 1/10 ",27
B,1,-1,-1,-0.180767205549993,0,7,"BASE - Delta: 10, 1/10 ",27
A,0.7,1,0.430171694163691,1,11,11,"BASE - Delta: 10, 1/10 ",28
B,0.7,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",28
A,0.8,0.833333333333333,0.230407669698112,0.99578481353628,11,12,"BASE - Delta: 10, 1/10 ",28
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",28
A,0.9,0.882352941176471,0.426221206665559,0.997023651217467,16,17,"BASE - Delta: 10, 1/10 ",28
B,0.9,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",28
A,1,0.888888888888889,0.454112800653263,0.997188887665261,17,18,"BASE - Delta: 10, 1/10 ",28
B,1,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",28
A,0.7,1,1,1,,,"BASE - Delta: 10, 1/10 ",29
B,0.7,1,1,1,,,"BASE - Delta: 10, 1/10 ",29
A,0.8,1,1,1,,,"BASE - Delta: 10, 1/10 ",29
B,0.8,1,1,1,,,"BASE - Delta: 10, 1/10 ",29
A,0.9,1,1,1,,,"BASE - Delta: 10, 1/10 ",29
B,0.9,1,1,1,,,"BASE - Delta: 10, 1/10 ",29
A,1,1,1,1,,,"BASE - Delta: 10, 1/10 ",29
B,1,1,1,1,,,"BASE - Delta: 10, 1/10 ",29
A,0.7,1,-0.0436475002099628,1,5,5,"BASE - Delta: 10, 1/10 ",30
B,0.7,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",30
A,0.8,1,0.261166704894362,1,8,8,"BASE - Delta: 10, 1/10 ",30
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",30
A,0.9,0.666666666666667,0.0317245026280659,0.958274949079815,10,12,"BASE - Delta: 10, 1/10 ",30
B,0.9,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",30
A,1,0.714285714285714,0.143741678180602,0.964410969033617,12,14,"BASE - Delta: 10, 1/10 ",30
B,1,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",30
A,0.7,0,-0.97484176581315,0.97484176581315,1,2,"BASE - Delta: 10, 1/10 ",31
B,0.7,-1,-1,0.415196452357427,0,3,"BASE - Delta: 10, 1/10 ",31
A,0.8,0.6,-0.432835872236179,0.989898473241064,4,5,"BASE - Delta: 10, 1/10 ",31
B,0.8,-1,-1,0.415196452357427,0,3,"BASE - Delta: 10, 1/10 ",31
A,0.9,0.777777777777778,0.035006970165326,0.994381726506802,8,9,"BASE - Delta: 10, 1/10 ",31
B,0.9,-1,-1,0.415196452357427,0,3,"BASE - Delta: 10, 1/10 ",31
A,1,0.866666666666667,0.361030866843394,0.996627139517295,14,15,"BASE - Delta: 10, 1/10 ",31
B,1,-1,-1,0.415196452357427,0,3,"BASE - Delta: 10, 1/10 ",31
A,0.7,0.333333333333333,-0.811401351899508,0.983192482680775,2,3,"BASE - Delta: 10, 1/10 ",32
B,0.7,1,1,1,,,"BASE - Delta: 10, 1/10 ",32
A,0.8,0.666666666666667,-0.28246915799535,0.991578510971021,5,6,"BASE - Delta: 10, 1/10 ",32
B,0.8,1,1,1,,,"BASE - Delta: 10, 1/10 ",32
A,0.9,0.8,0.109967765943609,0.994942842911076,9,10,"BASE - Delta: 10, 1/10 ",32
B,0.9,-1,-1,0.415196452357427,0,3,"BASE - Delta: 10, 1/10 ",32
A,1,0.714285714285714,0.143741678180602,0.964410969033617,12,14,"BASE - Delta: 10, 1/10 ",32
B,1,-1,-1,0.204729271232949,0,4,"BASE - Delta: 10, 1/10 ",32
A,0.7,1,0.327465766240114,1,9,9,"BASE - Delta: 10, 1/10 ",33
B,0.7,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",33
A,0.8,1,0.470703061205898,1,12,12,"BASE - Delta: 10, 1/10 ",33
B,0.8,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",33
A,0.9,1,0.536728476699767,1,14,14,"BASE - Delta: 10, 1/10 ",33
B,0.9,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",33
A,1,0.80952380952381,0.392451186172152,0.976501364231108,19,21,"BASE - Delta: 10, 1/10 ",33
B,1,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",33
A,0.7,1,-0.0436475002099628,1,5,5,"BASE - Delta: 10, 1/10 ",34
B,0.7,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",34
A,0.8,1,0.430171694163691,1,11,11,"BASE - Delta: 10, 1/10 ",34
B,0.8,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",34
A,0.9,0.875,0.395358523130936,0.996837776554468,15,16,"BASE - Delta: 10, 1/10 ",34
B,0.9,-1,-1,0.415196452357427,0,3,"BASE - Delta: 10, 1/10 ",34
A,1,0.80952380952381,0.392451186172152,0.976501364231108,19,21,"BASE - Delta: 10, 1/10 ",34
B,1,-1,-1,0.204729271232949,0,4,"BASE - Delta: 10, 1/10 ",34
A,0.7,1,1,1,,,"BASE - Delta: 10, 1/10 ",35
B,0.7,1,1,1,,,"BASE - Delta: 10, 1/10 ",35
A,0.8,1,1,1,,,"BASE - Delta: 10, 1/10 ",35
B,0.8,1,1,1,,,"BASE - Delta: 10, 1/10 ",35
A,0.9,1,1,1,,,"BASE - Delta: 10, 1/10 ",35
B,0.9,1,1,1,,,"BASE - Delta: 10, 1/10 ",35
A,1,1,1,1,,,"BASE - Delta: 10, 1/10 ",35
B,1,1,1,1,,,"BASE - Delta: 10, 1/10 ",35
A,0.7,0.333333333333333,-0.401409887582919,0.850290737160616,6,9,"BASE - Delta: 10, 1/10 ",36
B,0.7,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",36
A,0.8,0.454545454545455,-0.219485119144842,0.879564531654187,8,11,"BASE - Delta: 10, 1/10 ",36
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",36
A,0.9,0.538461538461539,-0.0762630784680818,0.899237853017697,10,13,"BASE - Delta: 10, 1/10 ",36
B,0.9,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",36
A,1,0.619047619047619,0.161867917632944,0.891072863643186,17,21,"BASE - Delta: 10, 1/10 ",36
B,1,-1,-1,0.415196452357427,0,3,"BASE - Delta: 10, 1/10 ",36
A,0.7,1,-1,1,5,5,"BASE - Delta: 10, 1/10 ",37
B,0.7,1,1,1,,,"BASE - Delta: 10, 1/10 ",37
